Phase_Min,Phase_Max,Norm_Intensity
0.9433594,0.9433594,0.067040443
0.9472656,0.9472656,0.094277084
0.9511719,0.9511719,0.123442374
0.9550781,0.9550781,0.159273803
0.9589844,0.9589844,0.201537549
0.9628906,0.9628906,0.247144774
0.9667969,0.9667969,0.316910893
0.9707031,0.9707031,0.391907454
0.9746094,0.9746094,0.477635831
0.9785156,0.9785156,0.571787417
0.9824219,0.9824219,0.659748673
0.9863281,0.9863281,0.769420505
0.9902344,0.9902344,0.902980924
0.9941406,0.9941406,1.000000000
