MJDcenter,crab_intensity_2-20keV,crab_intensity_2-20keV_err
55339.5,0.319701,0.012445999999999999
55340.5,0.341944,0.009581000000000001
55341.5,0.27160700000000004,0.008790000000000001
55342.5,0.13878800000000002,0.007208
55343.5,0.153321,0.007558
55344.5,0.111546,0.0068390000000000005
55345.5,0.123771,0.007025
55346.5,0.080664,0.006481000000000001
55347.5,0.048433,0.005963
55348.5,0.023748,0.005872
55349.5,0.015599000000000002,0.005519
55350.5,0.00942,0.005565
55351.5,0.012249,0.005698
55352.5,0.011112,0.006966
55353.5,0.03283,0.008004
55354.5,0.017641,0.006354
55355.5,0.030133999999999998,0.006842
55356.5,0.024598,0.007006
55357.5,0.021064,0.007199
55358.5,0.055108000000000004,0.010839
55359.5,0.101208,0.011049
55360.5,0.19781600000000002,0.015087
55361.5,0.236921,0.015331000000000001
55362.5,0.25109899999999996,0.017703999999999998
55363.5,0.23396999999999998,0.019653
55364.5,0.22624299999999997,0.022193
55365.5,0.177294,0.053804
55366.5,0.243943,0.025075999999999998
55367.5,0.289792,0.023944
55368.5,0.251136,0.022919
55369.5,0.24552600000000002,0.021546
55370.5,0.188995,0.020778
55371.5,0.024611,0.014140999999999999
55374.5,0.08971799999999999,0.016653
55375.5,0.027591,0.01009
55376.5,0.088408,0.013538
55377.5,0.094954,0.010783
55378.5,0.032437,0.008657
55379.5,0.066754,0.008763
55380.5,0.015483000000000002,0.0075049999999999995
55381.5,0.010684,0.007587000000000001
55382.5,-0.006686,0.009826
55384.5,0.023772,0.011271
55385.5,0.019034,0.00702
55386.5,0.030414999999999998,0.0069299999999999995
55387.5,0.015188,0.006744
55388.5,0.020600999999999998,0.007063
55389.5,0.011865,0.007070999999999999
55390.5,0.012304,0.006927
55391.5,0.010561,0.007067
55392.5,0.017665,0.007108
55393.5,0.005307,0.007025
55394.5,0.000167,0.007254999999999999
55395.5,0.020354,0.007386
55396.5,0.032093,0.008024
55397.5,0.038364999999999996,0.016
55398.5,0.03638,0.007076000000000001
55399.5,0.008495,0.006765
55400.5,0.020963,0.006442
55401.5,0.008870000000000001,0.006411
55402.5,0.009964,0.006294
55403.5,0.013505000000000001,0.006013
55404.5,0.017629,0.0059689999999999995
55405.5,0.020600999999999998,0.005992
55406.5,0.014312,0.006005
55407.5,0.014238999999999998,0.006139
55408.5,0.0060869999999999995,0.005573
55409.5,0.005335,0.005703
55410.5,0.010828,0.005963
55411.5,0.019382,0.006027
55412.5,0.014272,0.005991
55413.5,-0.006197,0.0056619999999999995
55414.5,0.024956,0.006490999999999999
55415.5,0.010051000000000001,0.0061270000000000005
55416.5,0.001475,0.006093
55417.5,0.00941,0.006205
55418.5,0.017368,0.00665
55419.5,0.021536000000000003,0.006862999999999999
55420.5,0.043481,0.007245000000000001
55421.5,0.5545800000000001,0.013978999999999998
55422.5,0.210614,0.009718000000000001
55423.5,0.233473,0.009989
55424.5,0.21191,0.010032
55425.5,0.199933,0.010709
55426.5,0.131029,0.010064
55427.5,0.102174,0.009621
55428.5,0.072465,0.011309
55429.5,0.029342,0.011674
55430.5,0.015557,0.012691
55431.5,0.042792000000000004,0.011872
55432.5,0.008225,0.012626
55433.5,0.036093,0.011534
55434.5,0.038055,0.013293000000000001
55435.5,0.027367000000000002,0.013718000000000001
55437.5,1.089391,0.038182
55438.5,0.8973389999999999,0.039682999999999996
55439.5,0.257396,0.022282
55440.5,0.163751,0.020312
55441.5,0.108073,0.018356
55442.5,0.07299299999999999,0.017242
55443.5,0.032,0.013798
55444.5,0.002149,0.015580000000000002
55445.5,-0.002677,0.01286
55446.5,0.026639999999999997,0.011703
55447.5,0.0039840000000000006,0.010964
55448.5,0.050875,0.007909999999999999
55449.5,0.006552,0.007651000000000001
55450.5,0.002091,0.012299
55451.5,0.004228,0.015614
55452.5,-0.016191999999999998,0.010596
55453.5,0.465942,0.011419
55454.5,0.519143,0.012221
55455.5,0.208718,0.009126
55456.5,0.15069200000000002,0.008855
55457.5,0.155337,0.008955
55458.5,0.11803599999999999,0.008501
55459.5,0.051095999999999996,0.007848
55460.5,0.048264,0.007792
55461.5,0.013612,0.0068980000000000005
55462.5,0.005922,0.0072299999999999994
55463.5,0.020311000000000003,0.007197
55464.5,0.006807,0.007546
55465.5,0.0060479999999999996,0.007188
55466.5,0.010711,0.008092
55467.5,0.007542,0.008316
55468.5,0.022040999999999998,0.011986
55469.5,0.049746,0.00719
55470.5,0.162868,0.008327
55471.5,0.018147999999999997,0.006451999999999999
55472.5,0.006981,0.006202
55473.5,-0.005295,0.005822
55474.5,0.0072959999999999995,0.005997
55475.5,0.002262,0.00585
55476.5,0.014721000000000001,0.005940999999999999
55477.5,0.004684000000000001,0.005959000000000001
55478.5,0.006032,0.006229
55479.5,0.00859,0.0056560000000000004
55480.5,0.00825,0.005925
55481.5,0.014956,0.008347
55482.5,0.020522,0.007684999999999999
55483.5,0.014609,0.006983
55484.5,0.009301,0.006046
55485.5,0.0014810000000000001,0.005841
55486.5,0.005748,0.006071
55487.5,0.021832,0.006431
55488.5,0.000288,0.005967
55489.5,0.009821,0.006358
55490.5,0.008125,0.006474
55491.5,0.013805000000000001,0.006665000000000001
55492.5,-0.010459999999999999,0.008758
55493.5,0.024194999999999998,0.012182
55494.5,0.031577999999999995,0.011718000000000001
55495.5,0.027608999999999998,0.00788
55496.5,0.025151,0.007918000000000001
55497.5,0.007508,0.009493999999999999
55498.5,0.022241,0.010407
55499.5,0.007318000000000001,0.010505
55500.5,0.001801,0.011626000000000001
55501.5,0.028005000000000002,0.011156000000000001
55502.5,0.005196,0.012399
55503.5,0.051428999999999996,0.012426999999999999
55504.5,0.019971,0.012967
55505.5,0.046616000000000005,0.012901
55507.5,0.021497,0.013368999999999999
55508.5,0.005863,0.015334
55509.5,0.060016999999999994,0.013927000000000002
55510.5,0.006856999999999999,0.014725
55511.5,0.042105000000000004,0.015121
55512.5,0.02021,0.014178
55513.5,0.023808000000000003,0.014324000000000002
55514.5,0.045794,0.014176
55515.5,0.017138,0.014309
55516.5,0.031372000000000004,0.013325
55517.5,0.027551999999999997,0.027393
55518.5,0.086983,0.012601000000000001
55519.5,0.066457,0.007915
55520.5,0.01609,0.0070209999999999995
55521.5,-0.020534999999999998,0.006495999999999999
55522.5,-0.00903,0.006608
55523.5,-0.0018629999999999999,0.006392
55524.5,0.010038,0.006368
55525.5,-0.010279,0.007148999999999999
55526.5,0.002307,0.006117
55527.5,0.017361,0.019573
55528.5,0.015694999999999997,0.006314999999999999
55529.5,0.009837,0.006383
55530.5,0.007309,0.005848
55531.5,0.018940000000000002,0.0058850000000000005
55532.5,0.014225999999999999,0.006376
55533.5,0.020831,0.00636
55534.5,0.010179,0.00607
55535.5,0.034258,0.006409999999999999
55536.5,0.031352,0.007554000000000001
55537.5,0.029643,0.006776999999999999
55538.5,0.002094,0.011456000000000001
55539.5,0.036683999999999994,0.0059759999999999995
55540.5,0.014406,0.006302
55541.5,0.008777,0.0056689999999999996
